"scenario","scenalpha","mag1","mag2","mag3","mag4","mag5","ef3_2","ef3_3","ef3_4","ef3_5","maska","maskb","siI","siI1","ramp","t1","t2","t3","t4","t5","t6","t7","t8","pS","pS2","pS3","pID","lambda","beta","hosp","cc","hosp2","cc2","hosp3","cc3","time","S","E","I","Ih","Ic","A","R","Rh","Rc","D","S2","E2","I2","Ih2","Ic2","A2","R2","Rh2","Rc2","D2","S3","E3","I3","Ih3","Ic3","A3","R3","Rh3","Rc3","D3","Id","It","Iht","Ict","Et"
1,"1A",0.8,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.4,0.5,0.3,0.3,0.00407,41,53,63,94,107,125,156,205,0.17886,0.47205,0.78571,0.33,1.65,0.48,0.00419,0.004,0.056,0.019,0.0899,0.035,10,2281242.70276167,2.89962669583926,0.586349866818813,0.0019017003265183,0.00203213810078891,1.37657815803436,1.42778363931608,0.00162831999285937,0.000668904849069824,0.000668904849069824,2332416.5839316,2.96467244997597,0.809107629010354,0.0144667269296995,0.00518653775668775,0.904921878479009,0.711260909743552,0.00502540762596446,0.000713432519491972,0.000713432519491972,1227121.15052099,1.55976093327207,0.708535958367599,0.0203374991692585,0.00836657265427074,0.193241998343655,0.3498695443515,0.00706477864100808,0.00115086118876747,0.00115086118876747,0.746609014822157,2.15628462913399,0.0522911749372237,0.0155852485117474,7.42406007908731
1,"1A",0.8,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.4,0.5,0.3,0.3,0.00407,41,53,63,94,107,125,156,205,0.17886,0.47205,0.78571,0.33,1.65,0.48,0.00419,0.004,0.056,0.019,0.0899,0.035,11,2281241.4767509,3.50004661469115,0.622840390923029,0.00197542046485994,0.00212591968318309,1.69866064070665,1.69418393703209,0.00187053698201785,0.000772819369328646,0.000772819369328646,2332415.33041839,3.57856126345368,0.998417180654598,0.0187085550843267,0.00673290013736338,1.116649402662,0.941401340969348,0.00709058747739957,0.00101019018732544,0.00101019018732544,1227120.49102792,1.88273751999181,0.874314428120081,0.0263007123404259,0.0108610600781926,0.238455459141225,0.463075720463243,0.00996803337976352,0.00162957062946114,0.00162957062946114,0.890243327688595,2.56227656748606,0.0667045677883517,0.0197198798987391,8.96134539813663
1,"1A",0.8,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.4,0.5,0.3,0.3,0.00407,41,53,63,94,107,125,156,205,0.17886,0.47205,0.78571,0.33,1.65,0.48,0.00419,0.004,0.056,0.019,0.0899,0.035,12,2281239.99798087,4.22378886277914,0.67684808918322,0.00206275835663669,0.00223229169736131,2.08300307402445,2.01019790121287,0.0021227423244689,0.000881706505069034,0.000881706505069034,2332413.81847591,4.31853882914135,1.22432109547036,0.0238166621940251,0.00860067432929352,1.36930478202219,1.22441930194525,0.00973859925662059,0.00139207326001635,0.00139207326001635,1227119.69557114,2.27205138785831,1.07213860013877,0.0334817509129245,0.0138740273429938,0.292408879387735,0.602292375973853,0.0136906402708589,0.00224559862790477,0.00224559862790477,1.06525973381471,3.05737594962559,0.0840681648332349,0.0247069933696486,10.8143790797788
1,"1A",0.8,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.4,0.5,0.3,0.3,0.00407,41,53,63,94,107,125,156,205,0.17886,0.47205,0.78571,0.33,1.65,0.48,0.00419,0.004,0.056,0.019,0.0899,0.035,13,2281238.21409629,5.096582399636,0.750800232161525,0.00217132365408298,0.00235895425458987,2.54288292312715,2.38672799374961,0.00238711049321409,0.000996386427500802,0.000996386427500802,2332411.99457442,5.21091127037647,1.49462343331105,0.0299554658243019,0.0108506724617744,1.67161623051916,1.5706276212775,0.0130876488912554,0.00187662072978768,0.00187662072978768,1227118.7359878,2.74154260324652,1.30884249356913,0.0421117550830238,0.0175035724712639,0.356966129929527,0.772592395665843,0.018398774632776,0.00302723790259384,0.00302723790259384,1.2778595762328,3.65921790279074,0.104951743749037,0.0307131991876282,13.049036273259
1,"1A",0.8,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.4,0.5,0.3,0.3,0.00407,41,53,63,94,107,125,156,205,0.17886,0.47205,0.78571,0.33,1.65,0.48,0.00419,0.004,0.056,0.019,0.0899,0.035,14,2281236.06199556,6.14936372658407,0.847771915467866,0.0023091855061153,0.00251418228715295,3.09430104626427,2.83684143706437,0.00266679297388391,0.00111807758196014,0.00111807758196014,2332409.79419678,6.28730907024868,1.81872897544888,0.0373266319463095,0.0135573416747412,2.03410224041571,1.99253072444,0.0172787547058016,0.00248474296968398,0.00248474296968398,1227117.57833442,3.30785246217016,1.59266188010953,0.0524742293048214,0.0218697885644879,0.434373387494967,0.980126711754112,0.0242906817266067,0.00400821965602072,0.00400821965602072,1.5355750737223,4.3892141303099,0.130051359283628,0.037941312526382,15.7445252590029
1,"1A",0.8,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.4,0.5,0.3,0.3,0.00407,41,53,63,94,107,125,156,205,0.17886,0.47205,0.78571,0.33,1.65,0.48,0.00419,0.004,0.056,0.019,0.0899,0.035,15,2281233.46558595,7.419394201039,0.971599883571251,0.002485165119663,0.00270710565063563,3.75653372273534,3.3762311091305,0.00296599373114448,0.00124843230633253,0.00124843230633253,2332407.13954332,7.58582945000973,2.20796768854729,0.0461762855513226,0.0168114450067665,2.46943446916332,2.50527356373451,0.0224808397512162,0.00324146839615458,0.00324146839615458,1227116.18167937,3.99102451358019,1.9335184172754,0.0649151790590253,0.0271190884306247,0.527336627557171,1.23234513272448,0.0316038356143969,0.0052289180403594,0.0052289180403594,1.84753264531804,5.27330025821198,0.160214268818038,0.0466376390880268,18.9962481646289
1,"1A",0.8,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.4,0.5,0.3,0.3,0.00407,41,53,63,94,107,125,156,205,0.17886,0.47205,0.78571,0.33,1.65,0.48,0.00419,0.004,0.056,0.019,0.0899,0.035,16,2281230.33308074,8.95159356305423,1.12702357827685,0.00270915693642306,0.00294802348113839,4.55280618007363,4.02376950059301,0.0032900832869028,0.00138958741137632,0.00138958741137632,2332403.93676832,9.1523998098962,2.67599060191619,0.0568037564314706,0.0207233055444345,2.99288049630686,3.12718320825004,0.0288968283193493,0.00417683928372541,0.00417683928372541,1227114.49664893,4.81522188708521,2.34336631831105,0.0798554057769715,0.0334294378269193,0.639116173080241,1.53826275166533,0.0406235097126548,0.00673779522523288,0.00673779522523288,2.22477465050371,6.34284958450146,0.196469085997357,0.0571007668524922,22.9192152600356
1,"1A",0.8,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.4,0.5,0.3,0.3,0.00407,41,53,63,94,107,125,156,205,0.17886,0.47205,0.78571,0.33,1.65,0.48,0.00419,0.004,0.056,0.019,0.0899,0.035,17,2281226.55376415,10.8001292361259,1.31985675772734,0.00299248779918401,0.00324876157263824,5.51110351415206,4.80217087945673,0.00364575380318233,0.00154423095705383,0.00154423095705383,2332400.07267236,11.0424026818581,3.23924643983411,0.0695721092863523,0.0254267057077267,3.62283689844384,3.88041793899766,0.0367709043152612,0.00532697981069609,0.00532697981069609,1227112.4636871,5.80958220620984,2.83660973935437,0.0978053101914837,0.0410166455239136,0.773640530279935,1.90877923644082,0.0516929806996807,0.00859312429694617,0.00859312429694617,2.68064728926352,7.63577495699712,0.240062020081299,0.0696921128042785,27.6521141241938
1,"1A",0.8,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.4,0.5,0.3,0.3,0.00407,41,53,63,94,107,125,156,205,0.17886,0.47205,0.78571,0.33,1.65,0.48,0.00419,0.004,0.056,0.019,0.0899,0.035,18,2281221.99406346,13.0303413450388,1.55719825563762,0.00334832961533441,0.00362308853813676,6.66515843941365,5.73879447529681,0.00404122435869909,0.00171568913142493,0.00171568913142493,2332395.41068639,13.3226439302865,3.91756218883557,0.0849209935456372,0.031083639053404,4.38147856709191,4.79175623692576,0.0463972836837064,0.00673538821756165,0.00673538821756165,1227110.01094275,7.00925308983917,3.43061118250284,0.119382956772439,0.0501420285939487,0.935645047534756,2.35706693323149,0.0652258608985046,0.0108650736812406,0.0108650736812406,3.23127367302099,9.19787266309493,0.2925010361189,0.0848487561854894,33.3622383651645
1,"1A",0.8,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.4,0.5,0.3,0.3,0.00407,41,53,63,94,107,125,156,205,0.17886,0.47205,0.78571,0.33,1.65,0.48,0.00419,0.004,0.056,0.019,0.0899,0.035,19,2281216.49282985,15.7210534358728,1.84768681671291,0.00379217713077536,0.00408720187683204,8.05563913487498,6.86660881350445,0.00448650036830006,0.00190803509932881,0.00190803509932881,2332389.78604658,16.07371530715,4.73484127475093,0.103382137177963,0.0378900346549409,5.29553956361562,5.89354541728272,0.0581307179640571,0.00845448488412215,0.00845448488412215,1227107.05173104,8.45663512973685,4.14630288979908,0.145335855110155,0.0611216465945192,1.13083866344459,2.89903750018124,0.0817208643010563,0.0136382043968026,0.0136382043968026,3.89612327636195,11.0844400338081,0.355609052545185,0.103098883126292,40.2514038727596
