"Frontier","hosp","ue"
"","Objective-Min","Objective-Min"
"false","89909","663.59"
"false","89909","663.59"
"false","89909","663.59"
"false","89909","663.59"
"false","89909","663.59"
"false","89909","663.59"
"false","89909","663.59"
"false","89909","663.59"
"false","89909","663.59"
"false","89909","663.59"
"false","89909","663.59"
"false","89909","663.59"
"false","89909","663.59"
"false","89909","663.59"
"false","89909","663.59"
"false","89909","663.59"
"false","89909","663.59"
"false","89909","663.59"
"false","89909","663.59"
"false","89909","663.59"
"false","89909","663.59"
"false","89909","663.59"
"false","89909","663.59"
"false","89909","663.59"
"false","89909","663.59"
"false","89909","663.59"
"false","89909","663.59"
"false","89909","663.59"
"false","89909","663.59"
"false","89909","663.59"
"false","89909","663.59"
"false","89909","663.59"
"false","89909","663.59"
"false","89909","663.59"
"false","89909","663.59"
"false","89909","663.59"
"false","89909","663.59"
"false","89909","663.59"
"false","89909","663.59"
"false","89909","663.59"
"false","89909","663.59"
"false","89909","663.59"
"false","89909","663.59"
"false","89909","663.59"
"true","93008","592.15"
"true","93008","592.15"
"true","93008","592.15"
"true","93116","571.84"
"false","93606","662.1"
"false","93606","662.1"
"false","93606","662.1"
"false","93606","662.1"
"false","93606","662.1"
"false","93606","662.1"
"false","93606","662.1"
"false","93606","662.1"
"false","93606","662.1"
"false","93606","662.1"
"false","93606","662.1"
"false","93606","662.1"
"false","93606","662.1"
"false","93606","662.1"
"false","93606","662.1"
"false","93606","662.1"
"false","93606","662.1"
"false","93606","662.1"
"false","93606","662.1"
"false","93606","662.1"
"false","93606","662.1"
"false","93606","662.1"
"false","93606","662.1"
"false","93606","662.1"
"false","93606","662.1"
"false","93606","662.1"
"false","93606","662.1"
"false","93606","662.1"
"false","93606","662.1"
"false","93606","662.1"
"false","93606","662.1"
"false","93606","662.1"
"false","93606","662.1"
"false","93606","662.1"
"false","93606","662.1"
"false","93606","662.1"
"false","93606","662.1"
"false","93606","662.1"
"false","93606","662.1"
"false","93606","662.1"
"false","93606","662.1"
"false","93606","662.1"
"false","93606","662.1"
"false","93606","662.1"
"false","93606","662.1"
"false","93606","662.1"
"false","93606","662.1"
"false","93606","662.1"
"false","93606","662.1"
"false","93606","662.1"
"false","93606","662.1"
"false","93606","662.1"
"false","93606","662.1"
"false","93606","662.1"
"false","93606","662.1"
"false","93606","662.1"
"false","93606","662.1"
"false","93606","662.1"
"false","93606","662.1"
"false","93606","662.1"
"true","94089","568.39"
"true","94089","568.39"
"true","94089","568.39"
"true","94089","568.39"
"false","95470","569.45"
"false","96197","582.69"
"false","96873","653.87"
"false","96873","653.87"
"false","97048","575.44"
"false","97048","575.44"
"false","97048","575.44"
"false","97048","575.44"
"false","97048","575.44"
"false","97390","590.68"
"false","97854","630.21"
"false","98999","661.28"
"false","98999","661.28"
"false","98999","661.28"
"false","98999","661.28"
"false","98999","661.28"
"false","98999","661.28"
"false","98999","661.28"
"false","98999","661.28"
"false","98999","661.28"
"false","98999","661.28"
"false","98999","661.28"
"false","98999","661.28"
"false","98999","661.28"
"false","98999","661.28"
"false","98999","661.28"
"false","98999","661.28"
"false","98999","661.28"
"false","98999","661.28"
"false","98999","661.28"
"false","98999","661.28"
"false","98999","661.28"
"false","98999","661.28"
"false","98999","661.28"
"false","98999","661.28"
"false","98999","661.28"
"false","98999","661.28"
"false","98999","661.28"
"false","98999","661.28"
"false","98999","661.28"
"false","98999","661.28"
"false","98999","661.28"
"false","98999","661.28"
"false","98999","661.28"
"false","98999","661.28"
"false","98999","661.28"
"false","98999","661.28"
"false","98999","661.28"
"false","98999","661.28"
"false","98999","661.28"
"false","98999","661.28"
"false","98999","661.28"
"false","98999","661.28"
"false","99017","580.44"
"false","99304","661.08"
"false","99304","661.08"
"false","99304","661.08"
"false","99304","661.08"
"false","99304","661.08"
"false","99304","661.08"
"false","99304","661.08"
"false","99914","590.68"
"false","100171","590.28"
"true","100330","568.27"
"true","100330","568.27"
"true","100330","568.27"
"true","100330","568.27"
"false","100907","610.79"
"false","101005","610.14"
"false","101173","598.56"
"true","101496","564.82"
"true","101496","564.82"
"false","101717","643.94"
"false","101717","643.94"
"false","101717","643.94"
"false","101912","649.43"
"false","101912","649.43"
"false","102419","645.13"
"false","103042","607.83"
"false","103044","659.79"
"false","103044","659.79"
"false","103044","659.79"
"false","103044","659.79"
"false","103044","659.79"
"false","103044","659.79"
