"Frontier","hosp","ue"
"","Objective-Min","Objective-Min"
"false","345816","401.05"
"false","346348","444.82"
"false","346453","378.19"
"false","346879","428.6"
"false","347385","392.42"
"false","347638","382.9"
"false","347743","353.25"
"false","347763","396.64"
"false","347835","445.13"
"false","347884","347"
"false","347940","429.8"
"false","347956","375.6"
"false","348114","381.9"
"false","348186","387.9"
"false","348210","400.25"
"false","348225","388.8"
"false","348534","439.07"
"false","348752","439.95"
"false","348757","425.2"
"false","348765","379.3"
"false","348857","393.88"
"false","348895","439.59"
"false","348935","350.25"
"false","349175","372.03"
"false","349332","377.09"
"false","349425","360.58"
"false","349444","487.62"
"false","349534","352.8"
"false","349720","380.37"
"false","349899","396.63"
"false","350173","433.7"
"false","350184","397.5"
"false","350243","440.2"
"false","350398","401.72"
"false","350913","389.15"
"false","351080","401.87"
"false","351377","429.6"
"false","351567","393.06"
"false","351721","340.8"
"false","352262","338.15"
"false","352284","379.6"
"false","352332","338.55"
"false","352426","412.12"
"false","352434","371.24"
"false","352677","434.5"
"false","352743","439.5"
"false","352895","415.32"
"false","353024","419.1"
"false","353159","356.09"
"false","353240","340.55"
"false","353358","386.32"
"false","353383","335.85"
"false","353588","414.97"
"false","353614","394.97"
"false","353615","354.74"
"false","353689","396.12"
"false","353713","406.15"
"false","354064","343.59"
"false","354157","381.22"
"false","354173","373.65"
"false","354195","342.95"
"false","354336","419.5"
"false","354457","370.99"
"false","354591","443.27"
"false","354891","422.45"
"false","355136","392.44"
"false","355216","430.07"
"false","355406","391.69"
"false","355671","415.86"
"false","356129","368.6"
"false","356428","336.9"
"false","356688","433"
"false","356721","416.79"
"false","356790","412.17"
"false","357187","377.8"
"false","357203","396.76"
"false","357316","382.4"
"false","357396","446.54"
"false","357491","399.81"
"false","357532","366.76"
"false","357623","451.4"
"false","357719","367.95"
"false","357814","371.86"
"false","357881","346.09"
"false","358061","391"
"false","358254","438.55"
"false","358317","355.5"
"false","358426","397.14"
"false","358458","412.43"
"false","358494","321.45"
"false","358644","325.34"
"false","359031","381.24"
"false","359044","339.59"
"false","359302","378.7"
"false","359304","391.3"
"false","359384","329.25"
"false","359605","419.19"
"false","359706","271.15"
"false","359749","401.39"
"false","359775","361.75"
"false","359875","461.22"
"false","359954","372.55"
"false","360015","423.05"
"false","360895","324.75"
"false","361146","367.94"
"false","361257","321.65"
"false","361465","370.6"
"false","361738","375.6"
"false","361977","294.85"
"false","361977","294.85"
"false","362139","353.2"
"false","362139","353.2"
"false","362176","319.42"
"false","362428","423.52"
"false","362522","346.44"
"false","362614","418.44"
"false","362630","382.55"
"false","362700","395.56"
"false","362866","341.82"
"false","362926","293.85"
"false","363124","419.87"
"false","363138","350.4"
"false","363346","421.75"
"false","363447","367.77"
"false","363624","338.05"
"false","363652","368.45"
"false","363732","401.69"
"false","363796","317.55"
"false","364319","369.55"
"false","364392","436.8"
"false","364402","354.55"
"false","364640","427.12"
"false","364668","342.94"
"false","364749","339.6"
"false","364835","384.62"
"false","365183","408.65"
"false","365297","387.28"
"false","365502","375.64"
"false","365674","332"
"false","365683","330.25"
"false","365825","320.8"
"false","365828","378.12"
"false","366127","426.96"
"false","366396","373.34"
"false","366508","325"
"false","366512","356.9"
"false","366549","400.71"
"false","366606","351.3"
"false","366611","337.72"
"false","366681","342.92"
"false","366734","359.17"
"false","366816","433.29"
"false","366884","320.05"
"false","366905","342.8"
"false","366914","421.3"
"false","366954","346.5"
"false","367093","463.22"
"false","367127","416.12"
"false","367283","321.25"
"false","367327","343.77"
"false","367360","350.92"
"false","367371","351.55"
"false","367428","367.74"
"false","367524","316.24"
"false","367540","374.2"
"false","367627","377.62"
"false","367640","309.9"
"false","367762","321.8"
"false","367988","320.05"
"false","367997","452.84"
"false","368003","319.05"
"false","368224","419.41"
"false","368374","324.12"
"false","368423","320.9"
"false","368477","322.52"
"false","368508","309.7"
"false","368571","342.29"
"false","368669","414.97"
"false","368678","335.37"
"false","368722","399.55"
"false","369009","434.61"
"false","369085","319.8"
"false","369148","441.62"
"false","369167","377.89"
"false","369267","397.09"
"false","369280","346.3"
"false","369320","321"
"false","369542","436.15"
"false","369630","395.86"
"false","369681","306.3"
"false","369705","338.2"
"false","369707","438.5"
"false","369824","312.6"
"false","369832","346.84"
"false","370011","413.76"
"false","370044","320.65"
"false","370051","411.9"
"false","370115","368.69"
"false","370118","394.65"
"false","370164","329.3"
"false","370273","303.6"
"false","370343","352.39"
"false","370501","335.03"
"false","370561","360.02"
