"Frontier","hosp","ue"
"","Objective-Min","Objective-Min"
"true","343397","341.1"
"true","344720","340.85"
"true","345551","337.35"
"true","349362","335.02"
"true","353714","333.42"
"true","358141","330.4"
"true","367274","302.15"
"true","367274","302.15"
"true","370457","294.95"
"true","370650","293.15"
"true","371271","290.25"
"true","377521","289.7"
"true","377613","287.25"
"true","382145","284.84"
"true","385621","283.34"
"true","386653","281.75"
"true","388602","281"
"true","388602","281"
"true","389616","274.95"
"true","390277","270.25"
"true","391229","269.09"
"true","393466","264.4"
"true","395352","262.79"
"true","395805","262.15"
"true","398012","261.94"
"true","398258","260.4"
"true","398258","260.4"
"true","399353","258.64"
"true","399789","255.35"
"true","399789","255.35"
"true","399789","255.35"
"true","400896","254.5"
"true","402056","253.85"
"true","402056","253.85"
"true","404399","253.7"
"true","404446","251.6"
"true","405582","238.59"
"true","405582","238.59"
"true","409326","237.44"
"true","409326","237.44"
"true","411704","236.19"
"true","413804","228.34"
"true","415944","227.09"
"true","422519","223.59"
"true","435345","221.25"
"true","438098","219.69"
"true","438098","219.69"
"true","438098","219.69"
"true","439395","218.94"
"true","439395","218.94"
"true","439395","218.94"
"true","439395","218.94"
"true","439395","218.94"
"true","440067","216.65"
"true","440653","215.45"
"true","440653","215.45"
"true","440653","215.45"
"true","441695","214.94"
"true","442077","214.7"
"true","442077","214.7"
"true","442077","214.7"
"true","442077","214.7"
"true","442077","214.7"
"true","442077","214.7"
