"date","dailyInfections","dailyHospitalizations","dailyCriticalCare","cumulativeInfections","cumulativeHospitalizations","cumulativeCriticalCare","LDLev","SD","UE","ICU"
2020-03-25,14008,296,214,47785,613,333,-1,0,0,0
2020-03-26,14926,322,233,52488,681,369,-1,0,0,0
2020-03-27,15895,349,254,57489,754,408,-1,0,0,0
2020-03-28,16689,376,275,62554,831,448,-1,0,0,0
2020-03-29,17162,403,295,67462,911,490,-1,0,0,0
2020-03-30,17407,427,315,72234,993,532,-1,0,0,0
2020-03-31,17494,450,333,76890,1075,575,-1,0,0,0
2020-04-01,17468,469,350,81441,1158,616,-1,0,0,0
2020-04-02,17365,486,365,85896,1240,658,-1,0,0,0
2020-04-03,17207,500,378,90263,1321,698,-1,0,0,0
2020-04-04,17013,512,390,94547,1401,738,-1,0,0,0
2020-04-05,16793,521,399,98751,1481,777,-1,0,0,0
2020-04-06,16557,528,408,102879,1559,815,-1,0,0,0
2020-04-07,16296,533,414,106917,1636,851,-1,0,0,0
2020-04-08,16006,536,420,110853,1711,887,-1,0,0,0
2020-04-09,15697,538,424,114692,1785,923,-1,0,0,0
2020-04-10,15377,538,427,118438,1858,957,-1,0,0,0
2020-04-11,15051,537,428,122094,1929,990,-1,0,0,0
2020-04-12,14724,534,429,125663,1998,1022,-1,0,0,0
2020-04-13,14397,531,429,129146,2066,1053,-1,0,0,0
2020-04-14,14073,526,428,132547,2133,1083,-1,0,0,0
2020-04-15,13753,521,426,135868,2197,1112,-1,0,0,0
2020-04-16,13438,515,423,139110,2261,1140,-1,0,0,0
2020-04-17,13128,509,420,142275,2322,1168,-1,0,0,0
2020-04-18,12823,502,416,145366,2383,1195,-1,0,0,0
2020-04-19,12525,494,412,148384,2441,1221,-1,0,0,0
2020-04-20,12232,487,407,151331,2499,1246,-1,0,0,0
2020-04-21,11946,479,402,154208,2555,1271,-1,0,0,0
2020-04-22,11666,470,397,157017,2610,1294,-1,0,0,0
2020-04-23,11391,462,392,159759,2663,1318,-1,0,0,0
2020-04-24,11123,454,386,162436,2715,1340,-1,0,0,0
2020-04-25,10861,445,380,165050,2766,1362,-1,0,0,0
2020-04-26,10605,437,374,167602,2816,1383,-1,0,0,0
2020-04-27,10354,428,368,170094,2865,1404,-1,0,0,0
2020-04-28,10104,419,361,172521,2912,1424,-1,0,0,0
2020-04-29,9853,411,355,174881,2958,1444,-1,0,0,0
2020-04-30,9603,402,348,177177,3003,1463,-1,0,0,0
2020-05-01,9355,394,342,179409,3047,1482,-1,0,0,0
2020-05-02,9111,385,335,181581,3090,1500,-1,0,0,0
2020-05-03,8871,376,329,183694,3131,1517,-1,0,0,0
2020-05-04,8636,368,322,185749,3172,1534,-1,0,0,0
2020-05-05,8408,359,315,187751,3211,1550,-1,0,0,0
2020-05-06,8188,351,309,189702,3250,1566,-1,0,0,0
2020-05-07,7975,343,302,191604,3287,1582,-1,0,0,0
2020-05-08,7768,335,295,193457,3323,1597,-1,0,0,0
2020-05-09,7568,327,289,195263,3359,1612,-1,0,0,0
2020-05-10,7373,319,282,197023,3393,1626,-1,0,0,0
2020-05-11,7184,311,276,198738,3427,1640,-1,0,0,0
2020-05-12,6969,303,270,200376,3460,1653,-1,0,0,0
2020-05-13,6713,296,263,201911,3491,1666,-1,0,0,0
2020-05-14,6432,288,257,203351,3522,1678,-1,0,0,0
2020-05-15,6138,280,250,204701,3551,1690,-1,0,0,0
2020-05-16,5839,271,243,205970,3578,1701,-1,0,0,0
2020-05-17,5542,262,236,207161,3604,1711,-1,0,0,0
2020-05-18,5250,253,229,208281,3629,1721,-1,0,0,0
2020-05-19,4978,244,222,209346,3653,1730,-1,0,0,0
2020-05-20,4733,235,214,210372,3675,1738,-1,0,0,0
2020-05-21,4511,226,207,211359,3696,1746,-1,0,0,0
2020-05-22,4306,218,200,212308,3716,1754,-1,0,0,0
2020-05-23,4117,209,193,213219,3736,1761,-1,0,0,0
2020-05-24,3939,201,186,214096,3754,1768,-1,0,0,0
2020-05-25,3772,193,179,214937,3772,1774,-1,0,0,0
2020-05-26,3600,185,172,215730,3788,1780,-1,0,0,0
2020-05-27,3416,178,166,216464,3805,1786,-1,0,0,0
2020-05-28,3227,170,160,217144,3820,1791,-1,0,0,0
2020-05-29,3037,163,153,217774,3834,1797,-1,0,0,0
2020-05-30,2850,156,147,218357,3847,1801,-1,0,0,0
2020-05-31,2669,149,141,218897,3860,1805,-1,0,0,0
2020-06-01,2494,142,135,219399,3872,1809,-1,0,0,0
2020-06-02,2352,135,129,219889,3883,1813,-1,0,0,0
2020-06-03,2253,128,123,220391,3893,1816,-1,0,0,0
2020-06-04,2184,122,118,220902,3903,1820,-1,0,0,0
2020-06-05,2136,117,113,221419,3913,1823,-1,0,0,0
2020-06-06,2102,112,108,221939,3923,1826,-1,0,0,0
2020-06-07,2078,107,104,222462,3932,1830,-1,0,0,0
2020-06-08,2061,103,100,222987,3942,1833,-1,0,0,0
2020-06-09,2049,99,96,223512,3951,1836,-1,0,0,0
2020-06-10,2039,96,93,224037,3960,1840,-1,0,0,0
2020-06-11,2032,93,90,224563,3970,1843,-1,0,0,0
2020-06-12,2026,91,87,225087,3979,1847,-1,0,0,0
2020-06-13,2020,88,85,225611,3988,1851,-1,0,0,0
2020-06-14,2015,86,82,226134,3998,1854,-1,0,0,0
2020-06-15,2010,85,80,226656,4007,1858,-1,0,0,0
2020-06-16,2005,83,78,227176,4016,1862,-1,0,0,0
2020-06-17,2000,82,76,227695,4026,1866,-1,0,0,0
2020-06-18,1995,80,75,228213,4035,1869,-1,0,0,0
2020-06-19,1989,79,73,228729,4044,1873,-1,0,0,0
2020-06-20,1983,78,72,229242,4053,1877,-1,0,0,0
2020-06-21,1979,77,71,229757,4062,1881,-1,0,0,0
2020-06-22,1978,76,70,230273,4072,1885,-1,0,0,0
2020-06-23,1978,75,68,230793,4081,1889,-1,0,0,0
2020-06-24,1980,75,67,231316,4090,1893,-1,0,0,0
2020-06-25,1983,74,67,231841,4099,1897,-1,0,0,0
2020-06-26,1986,73,66,232369,4108,1901,-1,0,0,0
2020-06-27,1990,73,65,232901,4117,1905,-1,0,0,0
2020-06-28,1994,72,64,233434,4126,1909,-1,0,0,0
2020-06-29,1998,72,63,233971,4136,1912,-1,0,0,0
2020-06-30,2002,72,63,234510,4145,1916,-1,0,0,0
2020-07-01,2007,71,62,235052,4154,1920,-1,0,0,0
2020-07-02,2011,71,61,235596,4163,1924,-1,0,0,0
2020-07-03,2015,71,61,236142,4172,1928,-1,0,0,0
2020-07-04,2020,70,60,236690,4182,1932,-1,0,0,0
2020-07-05,2024,70,60,237240,4191,1936,-1,0,0,0
2020-07-06,2028,70,59,237792,4200,1940,-1,0,0,0
2020-07-07,2032,70,59,238346,4209,1944,-1,0,0,0
2020-07-08,2036,70,59,238901,4219,1948,-1,0,0,0
2020-07-09,2039,69,58,239457,4228,1952,-1,0,0,0
2020-07-10,2042,69,58,240015,4237,1956,-1,0,0,0
2020-07-11,2045,69,58,240574,4247,1960,-1,0,0,0
2020-07-12,2048,69,57,241134,4256,1964,-1,0,0,0
2020-07-13,2051,69,57,241695,4265,1968,-1,0,0,0
2020-07-14,2054,69,57,242257,4275,1972,-1,0,0,0
2020-07-15,2056,69,57,242820,4284,1976,-1,0,0,0
2020-07-16,2059,68,56,243384,4293,1980,-1,0,0,0
2020-07-17,2062,68,56,243950,4303,1984,-1,0,0,0
2020-07-18,2065,68,56,244516,4312,1988,-1,0,0,0
2020-07-19,2068,68,56,245084,4321,1992,-1,0,0,0
2020-07-20,2071,68,56,245652,4331,1996,-1,0,0,0
2020-07-21,2074,68,56,246222,4340,2000,-1,0,0,0
2020-07-22,2077,68,56,246793,4350,2004,-1,0,0,0
2020-07-23,2080,68,56,247364,4359,2008,-1,0,0,0
2020-07-24,2084,68,56,247937,4369,2012,-1,0,0,0
2020-07-25,2087,68,55,248511,4378,2016,-1,0,0,0
2020-07-26,2090,68,55,249086,4388,2021,-1,0,0,0
2020-07-27,2093,68,55,249661,4397,2025,-1,0,0,0
2020-07-28,2097,68,55,250238,4407,2029,-1,0,0,0
2020-07-29,2100,68,55,250816,4416,2033,-1,0,0,0
2020-07-30,2103,68,55,251395,4426,2037,-1,0,0,0
2020-07-31,2107,68,55,251975,4435,2041,-1,0,0,0
2020-08-01,2110,68,55,252555,4445,2045,-1,0,0,0
2020-08-02,2113,68,55,253137,4455,2050,-1,0,0,0
2020-08-03,2117,68,55,253720,4464,2054,-1,0,0,0
2020-08-04,2120,68,55,254303,4474,2058,-1,0,0,0
2020-08-05,2124,69,55,254888,4483,2062,-1,0,0,0
2020-08-06,2127,69,55,255474,4493,2066,-1,0,0,0
2020-08-07,2130,69,56,256060,4503,2071,-1,0,0,0
2020-08-08,2134,69,56,256648,4512,2075,-1,0,0,0
2020-08-09,2137,69,56,257236,4522,2079,-1,0,0,0
2020-08-10,2140,69,56,257826,4532,2083,-1,0,0,0
2020-08-11,2144,69,56,258416,4542,2088,-1,0,0,0
2020-08-12,2147,69,56,259007,4551,2092,-1,0,0,0
2020-08-13,2151,69,56,259599,4561,2096,-1,0,0,0
2020-08-14,2154,69,56,260192,4571,2100,-1,0,0,0
2020-08-15,2157,69,56,260786,4581,2105,-1,0,0,0
2020-08-16,2161,69,56,261381,4591,2109,5,0.9,0.75,56.014758855338
2020-08-17,2147,69,56,261958,4600,2113,5,0.9,0.75,56.0719350453078
2020-08-18,2107,69,56,262500,4610,2118,5,0.9,0.75,56.0704771123573
2020-08-19,2048,69,56,263010,4620,2122,5,0.9,0.75,55.9724784987794
2020-08-20,1978,69,56,263488,4629,2126,5,0.9,0.75,55.7575194733344
2020-08-21,1901,68,55,263938,4638,2130,5,0.9,0.75,55.4169768473932
2020-08-22,1819,67,55,264360,4646,2133,5,0.9,0.75,54.9500750652701
2020-08-23,1736,66,54,264756,4654,2137,5,0.9,0.75,54.3611024112007
2020-08-24,1653,65,54,265128,4662,2140,5,0.9,0.75,53.6575200667074
2020-08-25,1571,63,53,265478,4669,2143,5,0.9,0.75,52.8486440958612
2020-08-26,1491,62,52,265805,4677,2146,5,0.9,0.75,51.9447574100568
2020-08-27,1413,60,51,266113,4683,2149,5,0.9,0.75,50.9565040361268
2020-08-28,1338,58,50,266402,4690,2152,5,0.9,0.75,49.8944925825035
2020-08-29,1266,56,49,266673,4696,2154,5,0.9,0.75,48.7690376379125
2020-08-30,1198,55,48,266928,4701,2157,5,0.9,0.75,47.5899955379156
2020-08-31,1132,53,46,267166,4707,2159,5,0.9,0.75,46.3666684569427
2020-09-01,1070,51,45,267390,4712,2161,5,0.9,0.75,45.1077502710063
2020-09-02,1010,49,44,267600,4717,2163,5,0.9,0.75,43.821304530418
2020-09-03,954,47,43,267798,4721,2165,5,0.9,0.75,42.514761041369
2020-09-04,900,45,41,267983,4726,2167,5,0.9,0.75,41.1949264759951
2020-09-05,849,43,40,268156,4730,2168,5,0.9,0.75,39.8680030918315
2020-09-06,803,42,39,268321,4733,2170,3,0.75,0.7,38.5402785331469
2020-09-07,764,40,37,268482,4737,2171,3,0.75,0.7,37.2247814267712
2020-09-08,732,38,36,268641,4741,2173,3,0.75,0.7,35.9349989174689
2020-09-09,705,37,35,268797,4744,2174,3,0.75,0.7,34.67948986515
2020-09-10,681,35,33,268951,4747,2175,3,0.75,0.7,33.4633998013416
2020-09-11,660,34,32,269101,4750,2177,3,0.75,0.7,32.2895825102661
2020-09-12,641,33,31,269248,4753,2178,3,0.75,0.7,31.1593619448204
2020-09-13,623,31,30,269393,4756,2179,3,0.75,0.7,30.0730501044096
2020-09-14,607,30,29,269534,4759,2180,3,0.75,0.7,29.0302857917265
2020-09-15,591,29,28,269673,4762,2181,3,0.75,0.7,28.0302708666998
2020-09-16,576,28,27,269809,4765,2182,3,0.75,0.7,27.0719235172208
2020-09-17,562,27,26,269943,4767,2183,3,0.75,0.7,26.1539832899508
2020-09-18,549,26,25,270074,4770,2184,3,0.75,0.7,25.2750801202903
2020-09-19,536,26,24,270202,4772,2185,3,0.75,0.7,24.4337817392785
2020-09-20,523,25,24,270327,4775,2186,3,0.75,0.7,23.6286253846206
2020-09-21,511,24,23,270450,4777,2187,3,0.75,0.7,22.8581398851134
2020-09-22,500,23,22,270571,4779,2188,3,0.75,0.7,22.1208611787863
2020-09-23,488,23,21,270689,4782,2188,3,0.75,0.7,21.4153432492468
2020-09-24,477,22,21,270805,4784,2189,3,0.75,0.7,20.7401659470657
2020-09-25,467,21,20,270918,4786,2190,3,0.75,0.7,20.0939411730161
2020-09-26,456,21,19,271030,4788,2191,3,0.75,0.7,19.4753175780149
2020-09-27,446,20,19,271139,4790,2192,1,0.35,0.25,18.882985097408
2020-09-28,443,20,18,271252,4792,2193,1,0.35,0.25,18.3201289126241
2020-09-29,447,19,18,271375,4794,2193,1,0.35,0.25,17.8011456030712
2020-09-30,458,19,17,271506,4796,2194,1,0.35,0.25,17.3366482352198
2020-10-01,474,18,17,271646,4798,2195,1,0.35,0.25,16.9325659361037
2020-10-02,493,18,17,271795,4801,2196,1,0.35,0.25,16.5919722536374
2020-10-03,515,18,16,271954,4803,2197,1,0.35,0.25,16.3162404685393
2020-10-04,539,18,16,272122,4805,2198,1,0.35,0.25,16.105775266096
2020-10-05,566,18,16,272300,4808,2199,1,0.35,0.25,15.9604650814965
2020-10-06,595,18,16,272488,4810,2200,1,0.35,0.25,15.879965105804
2020-10-07,626,19,16,272688,4813,2201,1,0.35,0.25,15.8638695036502
2020-10-08,660,19,16,272900,4816,2202,1,0.35,0.25,15.9118176043184
2020-10-09,696,19,16,273124,4819,2204,1,0.35,0.25,16.0235558317058
2020-10-10,734,20,16,273361,4822,2205,1,0.35,0.25,16.1989767693133
2020-10-11,774,20,16,273612,4826,2206,1,0.35,0.25,16.4381417618123
2020-10-12,817,21,17,273878,4829,2208,1,0.35,0.25,16.7412948604855
2020-10-13,863,22,17,274159,4833,2210,1,0.35,0.25,17.1088724935397
2020-10-14,911,23,18,274456,4837,2211,1,0.35,0.25,17.5415101087586
2020-10-15,963,24,18,274771,4841,2213,1,0.35,0.25,18.0400477562464
2020-10-16,1017,25,19,275104,4846,2215,1,0.35,0.25,18.6055354046975
2020-10-17,1075,26,19,275456,4850,2217,1,0.35,0.25,19.2392378873627
2020-10-18,1136,27,20,275829,4855,2219,1,0.35,0.25,19.9426407668347
2020-10-19,1192,28,21,276213,4861,2222,2,0.7,0.65,20.7120986636701
2020-10-20,1228,29,22,276591,4866,2224,2,0.7,0.65,21.5138876689611
2020-10-21,1252,31,22,276964,4872,2227,2,0.7,0.65,22.3147942291241
2020-10-22,1265,32,23,277332,4877,2229,2,0.7,0.65,23.0937113820295
2020-10-23,1272,33,24,277695,4883,2232,2,0.7,0.65,23.837624770968
2020-10-24,1275,34,25,278054,4889,2234,2,0.7,0.65,24.5388959111104
2020-10-25,1274,34,25,278410,4895,2237,2,0.7,0.65,25.1934116445014
2020-10-26,1270,35,26,278761,4900,2240,2,0.7,0.65,25.7993658487252
2020-10-27,1265,36,26,279109,4906,2242,2,0.7,0.65,26.3564372167001
2020-10-28,1259,36,27,279453,4912,2245,2,0.7,0.65,26.8652577249752
2020-10-29,1251,37,27,279794,4917,2247,2,0.7,0.65,27.3270559121002
2020-10-30,1243,37,28,280131,4923,2250,2,0.7,0.65,27.7434280480083
2020-10-31,1235,37,28,280465,4929,2252,2,0.7,0.65,28.1161844713484
2020-11-01,1226,37,28,280796,4934,2255,2,0.7,0.65,28.4472547410173
2020-11-02,1217,38,29,281123,4940,2257,2,0.7,0.65,28.7386236541715
2020-11-03,1208,38,29,281447,4945,2260,2,0.7,0.65,28.992290167483
2020-11-04,1198,38,29,281768,4951,2262,2,0.7,0.65,29.2102403111734
2020-11-05,1188,38,29,282086,4956,2265,2,0.7,0.65,29.3944307495697
2020-11-06,1179,38,30,282401,4962,2267,2,0.7,0.65,29.5467760859655
2020-11-07,1169,38,30,282712,4967,2269,2,0.7,0.65,29.6691405702282
2020-11-08,1159,38,30,283020,4972,2272,2,0.7,0.65,29.7633332788529
2020-11-09,1149,38,30,283326,4978,2274,2,0.7,0.65,29.8311032567983
2020-11-10,1139,38,30,283628,4983,2276,2,0.7,0.65,29.8741369442488
2020-11-11,1129,37,30,283928,4988,2279,2,0.7,0.65,29.8940562519007
2020-11-12,1119,37,30,284224,4993,2281,2,0.7,0.65,29.8924167909121
2020-11-13,1109,37,30,284518,4998,2283,2,0.7,0.65,29.8707071204759
2020-11-14,1099,37,30,284809,5003,2285,2,0.7,0.65,29.8303484632472
2020-11-15,1089,37,30,285097,5008,2288,2,0.7,0.65,29.7726946673366
2020-11-16,1079,37,30,285382,5013,2290,2,0.7,0.65,29.6990326598259
2020-11-17,1069,36,30,285664,5018,2292,2,0.7,0.65,29.6105832684663
2020-11-18,1059,36,30,285944,5023,2294,2,0.7,0.65,29.5085023101147
2020-11-19,1050,36,29,286221,5028,2296,2,0.7,0.65,29.3938819745995
2020-11-20,1040,36,29,286495,5033,2298,2,0.7,0.65,29.2677524475692
2020-11-21,1030,35,29,286767,5037,2300,2,0.7,0.65,29.1310837242439
2020-11-22,1021,35,29,287036,5042,2302,2,0.7,0.65,28.9847875904545
2020-11-23,1011,35,29,287302,5047,2304,2,0.7,0.65,28.8297197337053
2020-11-24,1002,35,29,287566,5051,2306,2,0.7,0.65,28.6666819509217
2020-11-25,992,34,28,287828,5056,2308,2,0.7,0.65,28.4964244256073
2020-11-26,983,34,28,288086,5060,2310,2,0.7,0.65,28.3196480475385
2020-11-27,974,34,28,288343,5065,2312,2,0.7,0.65,28.1370067512246
2020-11-28,965,34,28,288597,5069,2314,2,0.7,0.65,27.949109852716
2020-11-29,956,33,28,288848,5074,2316,2,0.7,0.65,27.7565243667706
2020-11-30,946,33,28,289097,5078,2318,2,0.7,0.65,27.5597772890618
2020-12-01,938,33,27,289344,5082,2320,2,0.7,0.65,27.3593578306491
2020-12-02,929,33,27,289588,5086,2322,2,0.7,0.65,27.1557195796111
2020-12-03,920,32,27,289830,5091,2324,2,0.7,0.65,26.9492826831327
2020-12-04,911,32,27,290069,5095,2325,2,0.7,0.65,26.7404356737461
2020-12-05,902,32,27,290306,5099,2327,2,0.7,0.65,26.5295377604286
2020-12-06,894,31,26,290541,5103,2329,2,0.7,0.65,26.3169204811552
2020-12-07,885,31,26,290774,5107,2331,2,0.7,0.65,26.1028894865204
2020-12-08,877,31,26,291005,5111,2332,2,0.7,0.65,25.8877263229751
2020-12-09,868,31,26,291233,5115,2334,2,0.7,0.65,25.6716899854829
2020-12-10,860,30,25,291459,5119,2336,2,0.7,0.65,25.4550185718883
2020-12-11,852,30,25,291683,5123,2337,2,0.7,0.65,25.2379306207901
2020-12-12,844,30,25,291904,5127,2339,2,0.7,0.65,25.0206264918789
2020-12-13,836,30,25,292124,5131,2341,2,0.7,0.65,24.8032897096742
2020-12-14,828,29,25,292341,5135,2342,2,0.7,0.65,24.5860881566047
2020-12-15,820,29,24,292557,5138,2344,2,0.7,0.65,24.3691752098204
2020-12-16,812,29,24,292770,5142,2346,2,0.7,0.65,24.1526908089558
2020-12-17,804,29,24,292981,5146,2347,2,0.7,0.65,23.9367624554719
2020-12-18,796,28,24,293190,5149,2349,2,0.7,0.65,23.7215061407603
2020-12-19,789,28,24,293397,5153,2350,2,0.7,0.65,23.5070272475569
2020-12-20,781,28,23,293603,5157,2352,2,0.7,0.65,23.2934212786357
2020-12-21,773,27,23,293806,5160,2353,2,0.7,0.65,23.0807747482283
2020-12-22,766,27,23,294007,5164,2355,2,0.7,0.65,22.8691657944819
2020-12-23,759,27,23,294206,5167,2356,2,0.7,0.65,22.6586648311793
2020-12-24,751,27,22,294404,5171,2358,2,0.7,0.65,22.449335185605
2020-12-25,744,26,22,294599,5174,2359,2,0.7,0.65,22.2412336550529
2020-12-26,737,26,22,294793,5177,2361,2,0.7,0.65,22.0344110292974
2020-12-27,730,26,22,294984,5181,2362,2,0.7,0.65,21.8289125752532
2020-12-28,723,26,22,295174,5184,2364,2,0.7,0.65,21.6247784854887
2020-12-29,716,25,21,295362,5187,2365,2,0.7,0.65,21.4220442931892
2020-12-30,709,25,21,295548,5191,2366,2,0.7,0.65,21.2207412557421
2020-12-31,702,25,21,295733,5194,2368,2,0.7,0.65,21.020896709113
2021-01-01,695,25,21,295915,5197,2369,2,0.7,0.65,20.8225343950268
2021-01-02,689,25,21,296096,5200,2370,2,0.7,0.65,20.6256747628747
2021-01-03,682,24,20,296275,5203,2372,2,0.7,0.65,20.4303352481383
2021-01-04,675,24,20,296453,5206,2373,2,0.7,0.65,20.2365305290244
2021-01-05,669,24,20,296628,5209,2374,1,0.35,0.25,20.0442729893247
2021-01-06,670,24,20,296811,5212,2376,1,0.35,0.25,19.859039342023
2021-01-07,683,23,20,297007,5216,2377,1,0.35,0.25,19.7018268101441
2021-01-08,704,23,20,297216,5219,2378,1,0.35,0.25,19.589135541775
2021-01-09,731,23,20,297439,5222,2380,1,0.35,0.25,19.5311342908354
2021-01-10,763,24,20,297676,5225,2381,1,0.35,0.25,19.5340925066951
2021-01-11,799,24,20,297927,5229,2383,1,0.35,0.25,19.601923748723
2021-01-12,839,24,20,298193,5233,2384,1,0.35,0.25,19.737163065709
2021-01-13,882,25,20,298475,5236,2386,1,0.35,0.25,19.9415752949863
2021-01-14,929,25,20,298773,5241,2388,1,0.35,0.25,20.2165362971
2021-01-15,979,26,21,299088,5245,2390,1,0.35,0.25,20.5632667450757
2021-01-16,1032,27,21,299422,5249,2392,1,0.35,0.25,20.9829791114409
2021-01-17,1088,28,21,299775,5254,2394,1,0.35,0.25,21.4769639952548
2021-01-18,1148,29,22,300148,5259,2396,1,0.35,0.25,22.046646431898
2021-01-19,1212,30,23,300543,5265,2398,1,0.35,0.25,22.693620749327
2021-01-20,1280,31,23,300960,5270,2401,1,0.35,0.25,23.41967259778
2021-01-21,1351,32,24,301401,5276,2404,1,0.35,0.25,24.2267964396087
2021-01-22,1427,34,25,301868,5282,2406,1,0.35,0.25,25.1172086066343
2021-01-23,1507,35,26,302361,5289,2409,1,0.35,0.25,26.0933580053494
2021-01-24,1592,37,27,302883,5296,2412,1,0.35,0.25,27.157937156101
2021-01-25,1682,39,28,303434,5303,2416,1,0.35,0.25,28.3138935691978
2021-01-26,1777,41,30,304017,5311,2419,1,0.35,0.25,29.5644404083358
2021-01-27,1877,43,31,304633,5319,2423,3,0.75,0.7,30.9130131802036
2021-01-28,1952,45,32,305250,5328,2427,3,0.75,0.7,32.3385051858395
2021-01-29,1995,47,34,305849,5337,2431,3,0.75,0.7,33.7708206528056
2021-01-30,2015,49,35,306434,5346,2435,3,0.75,0.7,35.1572648657828
2021-01-31,2018,51,36,307004,5355,2439,3,0.75,0.7,36.4652223118882
2021-02-01,2010,52,38,307561,5364,2443,3,0.75,0.7,37.6755645075168
2021-02-02,1994,54,39,308105,5373,2447,3,0.75,0.7,38.7781040667704
2021-02-03,1972,55,40,308637,5382,2451,3,0.75,0.7,39.7685522662899
2021-02-04,1947,55,41,309157,5391,2455,3,0.75,0.7,40.6464660945283
2021-02-05,1919,56,41,309665,5400,2459,3,0.75,0.7,41.4138565846335
2021-02-06,1889,57,42,310162,5408,2463,3,0.75,0.7,42.074281719059
2021-02-07,1857,57,43,310648,5417,2467,3,0.75,0.7,42.6322322889817
2021-02-08,1825,57,43,311123,5425,2471,3,0.75,0.7,43.0927312874424
2021-02-09,1793,57,43,311588,5433,2474,3,0.75,0.7,43.4610689970852
2021-02-10,1760,57,44,312043,5441,2478,3,0.75,0.7,43.7426346228852
2021-02-11,1728,57,44,312488,5449,2482,3,0.75,0.7,43.9428028261147
2021-02-12,1695,56,44,312923,5457,2485,3,0.75,0.7,44.0668618284271
2021-02-13,1663,56,44,313348,5465,2489,3,0.75,0.7,44.1199694459573
2021-02-14,1631,56,44,313764,5472,2492,3,0.75,0.7,44.1071232234988
2021-02-15,1599,55,44,314171,5480,2495,3,0.75,0.7,44.0331406594807
2021-02-16,1568,55,44,314570,5487,2498,3,0.75,0.7,43.9026495611904
2021-02-17,1537,54,44,314959,5494,2502,3,0.75,0.7,43.720081052007
2021-02-18,1503,54,43,315338,5501,2505,4,0.85,0.72,43.4883776052563
2021-02-19,1463,53,43,315699,5508,2508,4,0.85,0.72,43.200183569144
2021-02-20,1418,52,43,316042,5515,2511,4,0.85,0.72,42.8476959770525
2021-02-21,1370,51,42,316369,5521,2513,4,0.85,0.72,42.4283414393371
2021-02-22,1320,50,42,316681,5527,2516,4,0.85,0.72,41.9430090974953
2021-02-23,1270,49,41,316978,5533,2519,4,0.85,0.72,41.3948131017828
2021-02-24,1220,48,41,317260,5539,2521,4,0.85,0.72,40.7882046690416
2021-02-25,1171,47,40,317530,5544,2523,4,0.85,0.72,40.1283888885959
2021-02-26,1123,46,39,317787,5550,2526,4,0.85,0.72,39.4209288076442
2021-02-27,1076,45,39,318031,5555,2528,4,0.85,0.72,38.6714746082266
2021-02-28,1030,44,38,318264,5560,2530,4,0.85,0.72,37.8855915771456
2021-03-01,986,43,37,318486,5564,2532,4,0.85,0.72,37.068652784668
2021-03-02,943,41,36,318698,5569,2534,4,0.85,0.72,36.2257673509543
2021-03-03,903,40,35,318899,5573,2536,4,0.85,0.72,35.3617439350248
2021-03-04,863,39,34,319091,5577,2537,4,0.85,0.72,34.4810696057695
2021-03-05,825,38,34,319275,5581,2539,4,0.85,0.72,33.5879050016468
2021-03-06,789,36,33,319449,5585,2540,4,0.85,0.72,32.6860856520007
2021-03-07,754,35,32,319615,5588,2542,4,0.85,0.72,31.779129507543
2021-03-08,720,34,31,319774,5592,2543,4,0.85,0.72,30.8702490070056
2021-03-09,688,33,30,319925,5595,2545,4,0.85,0.72,29.9623638356361
2021-03-10,658,32,29,320068,5598,2546,4,0.85,0.72,29.0581154405004
2021-03-11,629,31,28,320207,5601,2547,2,0.7,0.65,28.1603689938356
2021-03-12,607,29,27,320344,5604,2548,2,0.7,0.65,27.2774204216228
2021-03-13,589,28,26,320481,5607,2549,2,0.7,0.65,26.4183644312239
2021-03-14,574,27,26,320617,5609,2550,2,0.7,0.65,25.5887093297412
2021-03-15,561,27,25,320751,5612,2551,2,0.7,0.65,24.7915036945128
2021-03-16,550,26,24,320885,5615,2552,2,0.7,0.65,24.0281665907704
2021-03-17,540,25,23,321018,5617,2553,2,0.7,0.65,23.2990574169715
2021-03-18,532,24,23,321149,5620,2554,2,0.7,0.65,22.6038488141394
2021-03-19,523,23,22,321279,5622,2555,2,0.7,0.65,21.9417789272676
2021-03-20,516,23,21,321408,5624,2556,2,0.7,0.65,21.3118166066116
2021-03-21,509,22,21,321536,5627,2557,2,0.7,0.65,20.7127697934267
2021-03-22,502,22,20,321663,5629,2558,2,0.7,0.65,20.1433580489021
2021-03-23,496,21,20,321789,5631,2559,2,0.7,0.65,19.6022592918165
2021-03-24,489,21,19,321913,5634,2560,2,0.7,0.65,19.0881412914536
2021-03-25,483,20,19,322036,5636,2561,2,0.7,0.65,18.5996808142052
2021-03-26,478,20,18,322158,5638,2562,2,0.7,0.65,18.1355775129865
2021-03-27,472,19,18,322279,5640,2562,2,0.7,0.65,17.6945623828823
2021-03-28,466,19,17,322399,5642,2563,2,0.7,0.65,17.2754035479428
2021-03-29,461,19,17,322518,5644,2564,2,0.7,0.65,16.8769098492048
2021-03-30,456,18,16,322635,5646,2565,2,0.7,0.65,16.4979334612535
2021-03-31,451,18,16,322752,5649,2566,2,0.7,0.65,16.1373713998882
2021-04-01,446,18,16,322867,5651,2567,1,0.35,0.25,15.7942360342999
2021-04-02,448,17,15,322989,5653,2567,1,0.35,0.25,15.4737960171851
2021-04-03,457,17,15,323120,5655,2568,1,0.35,0.25,15.1891778757111
